timestamps,TP9,AF7,AF8,TP10,Right AUX
1587068789.526,39.551,364.746,180.176,-50.293,0.000
1587068789.530,-23.926,182.617,13.672,-41.992,0.000
1587068789.534,-120.117,-207.031,-347.168,-35.156,0.000
1587068789.538,-67.383,-262.207,-354.004,-42.480,0.000
1587068789.542,42.480,-144.531,-173.340,-37.598,0.000
1587068789.546,21.973,66.406,-6.348,-20.996,0.000
1587068789.550,-111.328,108.887,-73.242,-40.527,0.000
1587068789.553,-110.352,-108.398,-320.312,-53.223,0.000
1587068789.557,15.137,149.902,-85.938,-45.898,0.000
1587068789.561,30.273,450.684,188.965,-19.043,0.000
1587068789.565,-98.633,112.793,-74.707,-25.391,0.000
1587068789.569,-148.926,-386.719,-418.945,-62.012,0.000
1587068789.573,-31.738,-82.520,-146.973,-56.152,0.000
1587068789.577,42.480,528.320,231.934,-32.227,0.000
1587068789.581,-59.570,354.980,109.375,-35.156,0.000
1587068789.585,-140.137,-555.176,-419.922,-48.828,0.000
1587068789.589,-53.711,-736.816,-500.000,-40.039,0.000
1587068789.592,34.668,273.438,118.652,-29.785,0.000
1587068789.596,-17.090,508.789,149.902,-17.090,0.000
1587068789.600,-109.863,-465.820,-426.270,-9.766,0.000
1587068789.604,-68.359,-548.340,-401.855,-26.367,0.000
1587068789.608,34.180,416.992,150.879,-40.039,0.000
1587068789.612,13.672,333.008,59.082,-27.832,0.000
1587068789.616,-99.609,-283.691,-299.316,-33.691,0.000
1587068789.620,-92.773,-250.977,-274.414,-39.062,0.000
1587068789.624,22.949,287.598,82.520,-38.086,0.000
1587068789.628,48.340,580.566,208.008,-38.574,0.000
1587068789.632,-53.223,-119.629,-217.773,-19.043,0.000
1587068789.635,-107.422,-561.523,-430.664,-24.414,0.000
1587068789.639,-14.160,95.703,-26.855,-44.434,0.000
1587068789.643,50.293,487.793,184.570,-41.992,0.000
1587068789.647,-41.992,-81.543,-149.414,-27.344,0.000
1587068789.651,-139.160,-373.535,-362.793,-31.738,0.000
1587068789.655,-60.547,68.359,-89.355,-38.574,0.000
1587068789.659,48.828,334.473,121.094,-37.109,0.000
1587068789.663,2.441,36.621,-51.758,-30.273,0.000
1587068789.667,-113.770,-166.016,-202.148,-31.738,0.000
1587068789.671,-90.332,-112.793,-246.094,-52.246,0.000
1587068789.675,20.508,192.383,25.391,-50.293,0.000
1587068789.678,18.066,111.328,-4.883,-20.020,0.000
1587068789.682,-91.797,-271.484,-291.504,-22.949,0.000
1587068789.686,-99.609,-177.734,-263.672,-42.969,0.000
1587068789.690,13.184,-163.086,-262.207,-27.832,0.000
1587068789.694,38.574,-118.164,-135.254,-12.695,0.000
1587068789.698,-71.777,119.629,34.180,-33.691,0.000
1587068789.702,-122.559,-194.824,-313.965,-53.711,0.000
1587068789.706,-24.902,-205.078,-318.848,-44.922,0.000
1587068789.710,60.059,221.191,66.895,-21.484,0.000
1587068789.714,-21.973,399.902,178.223,-15.137,0.000
1587068789.717,-126.465,-74.219,-178.223,-41.016,0.000
1587068789.721,-59.570,-256.348,-284.668,-50.293,0.000
1587068789.725,39.062,103.027,21.973,-42.480,0.000
1587068789.729,-0.488,159.668,69.824,-39.551,0.000
1587068789.733,-110.840,-134.766,-204.102,-39.551,0.000
1587068789.737,-83.984,-794.434,-547.852,-21.484,0.000
1587068789.741,34.668,-295.410,-156.738,-21.484,0.000
1587068789.745,23.926,741.211,315.918,-38.086,0.000
1587068789.749,-83.496,91.797,-146.973,-33.203,0.000
1587068789.753,-100.098,-412.109,-412.109,-36.621,0.000
1587068789.757,21.484,258.789,70.312,-34.180,0.000
1587068789.760,70.801,565.430,225.098,-18.555,0.000
1587068789.764,-41.992,-99.121,-213.379,-14.160,0.000
1587068789.768,-121.094,-440.430,-446.289,-41.992,0.000
1587068789.772,-36.133,-97.168,-147.461,-54.688,0.000
1587068789.776,54.688,300.781,178.223,-40.039,0.000
1587068789.780,-13.184,-66.895,-108.398,-31.738,0.000
1587068789.784,-106.934,-710.938,-519.043,-29.297,0.000
1587068789.788,-58.594,-93.262,-100.586,-30.273,0.000
1587068789.792,38.574,606.445,274.902,-41.016,0.000
1587068789.796,-2.930,297.363,36.621,-48.828,0.000
1587068789.800,-108.398,-439.453,-412.109,-50.293,0.000
1587068789.803,-91.797,-300.293,-299.316,-61.523,0.000
1587068789.807,10.742,321.777,91.309,-73.730,0.000
1587068789.811,25.879,422.852,203.613,-59.570,0.000
1587068789.815,-85.449,-17.578,-119.629,-59.570,0.000
1587068789.819,-118.164,-395.508,-376.465,-74.219,0.000
1587068789.823,-1.465,-151.855,-159.668,-65.918,0.000
1587068789.827,51.758,180.664,67.871,-50.781,0.000
1587068789.831,-52.734,137.207,43.945,-45.410,0.000
1587068789.835,-126.953,-161.133,-259.766,-55.664,0.000
1587068789.839,-32.715,-179.199,-297.852,-46.875,0.000
1587068789.842,72.266,76.172,-44.922,-14.648,0.000
1587068789.846,4.883,218.750,88.867,-4.883,0.000
1587068789.850,-114.258,-65.918,-147.949,-38.574,0.000
1587068789.854,-80.566,-293.457,-370.117,-46.387,0.000
1587068789.858,26.367,-106.934,-104.980,-38.574,0.000
1587068789.862,0.977,324.707,172.852,-38.574,0.000
1587068789.866,-111.328,-141.113,-238.281,-41.992,0.000
1587068789.870,-105.469,-654.785,-530.762,-53.223,0.000
1587068789.874,9.766,-600.098,-456.055,-38.086,0.000
1587068789.878,26.367,106.934,-9.766,-32.227,0.000
1587068789.882,-73.730,200.684,-92.285,-38.086,0.000
1587068789.885,-115.723,-502.930,-480.957,-32.715,0.000
1587068789.889,-12.695,-51.758,-92.285,-35.156,0.000
1587068789.893,68.359,529.297,197.266,-21.973,0.000
1587068789.897,-12.695,254.395,4.883,-15.137,0.000
1587068789.901,-111.816,-223.633,-275.879,-37.109,0.000
1587068789.905,-55.664,-16.113,-91.797,-50.781,0.000
1587068789.909,42.969,562.988,243.652,-42.969,0.000
1587068789.913,-12.695,333.008,83.496,-26.367,0.000
1587068789.917,-111.328,-670.898,-510.742,-16.113,0.000
1587068789.921,-82.520,-630.371,-410.156,-29.785,0.000
1587068789.925,22.949,517.090,238.281,-45.898,0.000
1587068789.928,21.973,611.328,221.191,-17.090,0.000
1587068789.932,-85.938,-12.207,-135.254,-0.977,0.000
1587068789.936,-85.449,-267.090,-332.031,-16.602,0.000
1587068789.940,19.043,128.906,22.949,-29.297,0.000
1587068789.944,39.551,390.625,166.016,-37.109,0.000
1587068789.948,-72.754,-9.277,-56.152,-33.691,0.000
1587068789.952,-135.254,-241.211,-215.332,-46.387,0.000
1587068789.956,-29.785,114.746,-32.227,-53.223,0.000
1587068789.960,65.430,244.629,69.336,-21.484,0.000
1587068789.964,-33.691,-147.949,-95.703,-11.230,0.000
1587068789.967,-146.973,-150.391,-54.199,-46.875,0.000
1587068789.971,-72.266,44.922,15.137,-61.035,0.000
1587068789.975,45.410,110.352,49.805,-47.852,0.000
1587068789.979,8.789,3.418,-53.223,-16.113,0.000
1587068789.983,-114.746,-221.191,-259.277,-20.996,0.000
1587068789.987,-85.449,-399.902,-381.348,-43.945,0.000
1587068789.991,42.480,85.449,69.824,-45.410,0.000
1587068789.995,47.363,282.715,125.488,-36.133,0.000
1587068789.999,-76.660,-180.664,-261.230,-31.738,0.000
1587068790.003,-102.051,-318.359,-337.891,-51.758,0.000
1587068790.007,15.137,-146.973,-208.008,-40.527,0.000
1587068790.010,61.523,280.273,78.613,-16.113,0.000
1587068790.014,-47.852,293.457,83.008,-29.297,0.000
1587068790.018,-118.164,-253.418,-284.180,-42.969,0.000
1587068790.022,-14.160,-418.457,-318.848,-26.367,0.000
1587068790.026,87.891,221.191,112.305,-6.836,0.000
1587068790.030,12.695,403.809,137.695,11.719,0.000
1587068790.034,-100.586,-376.953,-387.207,4.395,0.000
1587068790.038,-66.406,-413.574,-359.863,-37.109,0.000
1587068790.042,33.691,368.164,158.691,-41.992,0.000
1587068790.046,10.742,468.750,156.250,-13.184,0.000
1587068790.050,-103.516,-302.734,-276.367,-17.578,0.000
1587068790.053,-86.914,-718.262,-471.191,-34.180,0.000
1587068790.057,14.160,-110.352,-90.820,-37.598,0.000
1587068790.061,26.367,349.121,177.246,-25.391,0.000
